etapa,n_obs
contratos_ita,30
obs_brutas_ita,1980
obs_com_midquote_valido,1880
obs_com_target_exato_5d,1734
amostra_comum_4configs,1678
datas_amostra_comum,142
sem_indices_treino,1082
sem_indices_purgadas,90
sem_indices_teste,506
so_GPR_treino,1082
so_GPR_purgadas,90
so_GPR_teste,506
so_VIX_treino,1082
so_VIX_purgadas,90
so_VIX_teste,506
GPR_e_VIX_treino,1082
GPR_e_VIX_purgadas,90
GPR_e_VIX_teste,506
